STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Szemafor koz,IX,66,3,604.0,5.0,3.0,,1.0,0.0,4.0,1.0,0,4.0,91.0,0,,street,0.0,0.0,0.0,1.0,1.0,,1,
 Damjanich utca,VII,108,4,544.0,4.0,3.0,,1.0,,5.0,,0,3.0,76.0,0,,street,0.0,0.0,,1.0,0.0,,0,
 Danubius utca,XIII,52,2,785.0,6.0,3.0,,9.0,1.0,9.0,1.0,1,4.0,151.0,1,,panoramic,28.0,0.0,0.0,1.0,1.0,,1,
 Sas utca,V,40,1,498.0,5.0,3.0,,2.0,1.0,5.0,2.0,0,1.0,0.0,0,,,0.0,,,,0.0,not allowed,,
 Hercegprimas utca,V,67,3,1269.0,5.0,5.0,18,2.0,1.0,4.0,,1,4.0,136.0,0,south-west,panoramic,4.0,,0.0,1.0,0.0,not allowed,,
 Bajza utca,VI,66,2,783.0,4.0,3.0,,5.0,1.0,6.0,2.0,1,4.0,0.0,0,,street,7.0,0.0,0.0,1.0,,,,
 Hevizi ut 1.,III,138,4,1752.0,6.0,5.0,14,0.0,1.0,2.0,1.0,0,1.0,0.0,0,south-west,garden,15.0,1.0,0.0,1.0,0.0,not allowed,0,
 Rozsa utca,VI,45,2,656.0,,,,2.0,1.0,,,1,4.0,0.0,0,,court,0.0,,,1.0,,,,
 Ulloi ut,VIII,98,3,649.0,5.0,3.0,,1.0,,3.0,2.0,0,4.0,0.0,0,south-west,street,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Prater utca,VIII,49,2,510.0,5.0,3.0,,1.0,1.0,4.0,2.0,1,4.0,76.0,1,south-west,street,0.0,0.0,0.0,1.0,0.0,,0,
 Andrassy ut 68.,VI,57,2,846.0,5.0,,,4.0,1.0,,,1,4.0,196.0,0,,garden,0.0,,,1.0,0.0,,0,
 Szent Istvan korut,V,56,1,544.0,5.0,3.0,,0.5,0.0,4.0,2.0,0,1.0,45.0,0,,court,0.0,1.0,0.0,1.0,,not allowed,0,
 Belvaros,V,99,3,1507.0,,5.0,,4.0,1.0,5.0,,1,4.0,214.0,0,,street,1.0,,,1.0,0.0,,,
 Lazar utca,VI,101,3,2021.0,5.0,4.0,,2.0,1.0,3.0,2.0,1,4.0,0.0,0,west,street,0.0,,0.0,1.0,,,0,
 Pozsonyi ut,XIII,55,2,755.0,4.0,3.0,,2.0,1.0,6.0,1.0,0,2.0,0.0,0,west,panoramic,3.0,,,1.0,,not allowed,,
 Meszaros utca,I,68,2,574.0,5.0,3.0,17,3.0,,3.0,2.0,1,4.0,27.0,0,,panoramic,0.0,0.0,1.0,1.0,0.0,not allowed,1,
 Hajos utca 1.,VI,72,2,1322.0,5.0,4.0,,1.0,,,,0,4.0,199.0,0,,street,0.0,,,1.0,0.0,not allowed,,
 Gyali ut 15 b,IX,66,3,604.0,5.0,4.0,,1.0,,,,0,4.0,36.0,0,,,0.0,,,1.0,0.0,not allowed,,
 Kulso-Terezvaros,VI,150,4,2955.0,5.0,4.0,,2.0,1.0,,2.0,1,3.0,0.0,0,,street,0.0,0.0,0.0,1.0,,,,
 Ulloi ut 187.,IX,56,3,634.0,5.0,,,7.0,1.0,,,0,,0.0,0,,street,0.0,,,1.0,0.0,,,
 Pava utca 41.,IX,72,3,740.0,5.0,,,1.0,0.0,,,0,4.0,0.0,0,,street,0.0,,,1.0,,,,
 Viola utca,IX,83,3,846.0,6.0,4.0,12,0.0,1.0,5.0,1.0,1,4.0,85.0,1,east,garden,15.0,1.0,0.0,1.0,0.0,not allowed,0,
 Kutvolgy,XII,115,3,1534.0,5.0,5.0,,0.5,0.0,2.0,,1,4.0,0.0,0,south-east,panoramic,16.0,0.0,0.0,1.0,0.0,,0,
 Szepilona,II,115,4,1420.0,5.0,4.0,,1.0,1.0,,1.0,1,2.0,0.0,0,,garden,10.0,,,1.0,,,1,
 Izabella utca,VI,100,3,793.0,5.0,,,2.0,0.0,,,0,1.0,0.0,0,,street,0.0,,,0.0,0.0,,,
 Telepes utca,XIV,40,1,332.0,5.0,3.0,,4.0,0.0,4.0,,0,4.0,76.0,0,,,0.0,0.0,0.0,1.0,0.0,not allowed,,
 Nagymezo utca,VI,30,1,332.0,5.0,,,3.0,,3.0,,0,,0.0,0,,,0.0,,0.0,,,not allowed,,
 Petofi Sandor utca,V,80,2,695.0,5.0,4.0,,2.0,1.0,,,0,4.0,76.0,0,,court,0.0,,,1.0,0.0,,,
 Orom utca,I,81,1,1057.0,5.0,3.0,,0.5,,1.0,1.0,1,,0.0,0,,street,18.0,0.0,,,,,,
 Kofarago utca,VIII,72,2,695.0,5.0,3.0,,0.0,0.0,4.0,,0,4.0,60.0,0,,court,8.0,,,1.0,0.0,,0,
 Zichy Jeno utca,VI,42,2,687.0,5.0,,,1.0,0.0,,,0,4.0,0.0,0,,court,0.0,,,1.0,1.0,,,
 Parizsi utca,V,130,4,1450.0,5.0,4.0,,4.0,1.0,4.0,2.0,1,4.0,0.0,0,,panoramic,0.0,,0.0,1.0,,,0,
 Veres Palne utca 9.,V,110,3,785.0,5.0,,,2.0,1.0,,,1,4.0,181.0,0,,court,8.0,,,1.0,,,,
 Lipotvaros,V,30,1,513.0,,3.0,,1.0,1.0,4.0,2.0,0,4.0,0.0,0,,court,0.0,,0.0,1.0,0.0,not allowed,,
 Eotvos utca,VI,100,4,1375.0,5.0,,,4.0,1.0,,,1,4.0,0.0,0,,street,0.0,,,1.0,0.0,,,
 Anker koz 2-4,VI,90,3,2644.0,5.0,5.0,,2.0,1.0,6.0,2.0,1,4.0,91.0,0,south-east,street,11.0,0.0,0.0,1.0,1.0,,0,
 Akacfa utca,VII,63,2,658.0,5.0,3.0,,3.0,1.0,3.0,,1,4.0,91.0,0,,street,0.0,0.0,0.0,1.0,0.0,,0,
 Frangepan utca,XIII,32,1,483.0,6.0,3.0,19,1.0,1.0,,1.0,1,1.0,0.0,0,south-west,court,22.0,0.0,,1.0,0.0,not allowed,0,
 O utca 5.,VI,57,1,1481.0,5.0,5.0,,2.0,1.0,5.0,2.0,1,4.0,0.0,1,,street,0.0,0.0,0.0,1.0,,not allowed,,
 Otvos Janos utca,II,137,4,1148.0,5.0,4.0,,3.0,,3.0,1.0,1,3.0,0.0,0,south-east,panoramic,0.0,,,1.0,1.0,,1,
 Varoshaz utca,V,122,3,2010.0,5.0,5.0,19,2.0,1.0,,2.0,1,4.0,151.0,0,south,street,0.0,0.0,,1.0,0.0,not allowed,0,
