STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Tabornok utca,XIV,50,1,423.0,,,,,,,,0,,0.0,0,,,6.0,,,,,,,
 Mester utca,IX,57,2,513.0,4.0,,,4.0,1.0,,1.0,0,,0.0,0,north-east,street,4.0,,0.0,,,,,
 Marvany utca 23.,XII,82,3,785.0,5.0,2.0,,1.0,0.0,3.0,2.0,1,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,0.0,not allowed,,
 Matyas ter,VIII,61,2,604.0,5.0,3.0,,5.0,1.0,7.0,,0,4.0,0.0,1,south-east,street,5.0,0.0,0.0,1.0,1.0,,0,
 Robert Karoly korut,XIII,30,1,393.0,5.0,3.0,,1.0,0.0,2.0,2.0,1,4.0,0.0,0,west,street,0.0,0.0,0.0,1.0,1.0,not allowed,0,
 Javorka Adam utca,XIV,87,3,544.0,5.0,3.0,,3.0,,3.0,,0,,0.0,0,,court,0.0,,1.0,,,,,
 Ujlipotvaros,XIII,71,3,634.0,,,,1.0,1.0,,,0,4.0,45.0,0,,,0.0,,,1.0,1.0,,,
 Lehel utca 74.,XIII,55,2,483.0,6.0,3.0,19,3.0,1.0,8.0,1.0,1,3.0,91.0,1,south,street,4.0,1.0,0.0,1.0,0.0,not allowed,0,
 Frankel Leo ut,II,41,1,453.0,5.0,,,2.0,0.0,2.0,2.0,1,,50.0,0,,court,0.0,,0.0,1.0,,not allowed,0,
 Bertalan Lajos utca,XI,93,3,967.0,,,,,,,,0,,48.0,0,,,5.0,,,,,,,
 Rokolya utca 36.,XIII,88,4,1148.0,,,,,,,,0,,0.0,0,,,16.0,,,,,,,
 Ujlipotvaros,XIII,82,2,876.0,,,,1.0,1.0,,,0,4.0,60.0,0,,,2.0,,,1.0,0.0,,0,
 Ujlipotvaros,XIII,81,2,755.0,,,,3.0,1.0,,,0,,60.0,0,,,0.0,,,1.0,1.0,,,
 Bethlen Gabor utca,VII,30,1,423.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Volgy utca,II,94,4,1836.0,6.0,5.0,,1.0,1.0,,,0,4.0,0.0,0,,garden,27.0,,0.0,1.0,,,1,
 Izabella utca 96.,VI,75,2,561.0,4.0,,,3.0,0.0,,2.0,0,4.0,0.0,0,,street,0.0,,,1.0,,,1,
 Mezolak utca,XXIII,40,1,332.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Zivatar utca,II,79,3,816.0,4.0,,,1.0,,,,0,3.0,0.0,0,,,0.0,,,,,,,
 Igaz utca,XVIII,46,1,332.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Nadasdy utca,IX,47,2,510.0,6.0,3.0,,2.0,1.0,6.0,1.0,1,4.0,27.0,1,,garden,7.0,,0.0,1.0,0.0,,0,
 Obuda-Ovaros,III,70,1,664.0,5.0,3.0,,,1.0,,,1,4.0,0.0,1,south,court,7.0,,0.0,1.0,1.0,,0,
 Telepes utca,XIV,61,2,598.0,,,,,,,,0,,0.0,0,,,10.0,,,,,,,
 Jozsef korut,VIII,144,4,951.0,5.0,3.0,,1.0,1.0,4.0,2.0,1,1.0,133.0,0,,street,2.0,,0.0,1.0,0.0,not allowed,0,
 Marczibanyi ter,II,109,3,1193.0,5.0,4.0,,1.0,0.0,3.0,2.0,0,2.0,0.0,0,,street,7.0,0.0,0.0,1.0,0.0,not allowed,1,
 Javorka Adam utca,XIV,90,2,483.0,5.0,3.0,,3.0,0.0,3.0,1.0,0,1.0,0.0,0,south-west,,0.0,0.0,1.0,0.0,0.0,not allowed,0,
 Osvat utca 17.,VII,60,2,453.0,,,,,,,,0,,49.0,0,,,0.0,,,,,,,
 Nyirpalota ut 18.,XV,35,1,393.0,3.0,,,,1.0,,,0,,0.0,0,,,0.0,0.0,,1.0,1.0,allowed,0,0.0
 Belso-Terezvaros,VI,32,1,438.0,5.0,,,1.0,,,2.0,0,,0.0,0,east,court,0.0,,0.0,,,,,
 Devai utca,XIII,50,1,513.0,1.0,,,2.0,,,,0,1.0,0.0,0,,,0.0,,,,1.0,,0,
 Pauler utca,I,31,1,393.0,5.0,3.0,,4.0,1.0,5.0,2.0,0,4.0,18.0,0,,street,0.0,,0.0,1.0,0.0,not allowed,0,
 Ady Endre ut,XXII,34,1,302.0,4.0,3.0,,2.0,0.0,3.0,,0,4.0,60.0,0,,,0.0,,,1.0,0.0,not allowed,1,
 Dregely utca,IX,40,1,453.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Ferenc korut,IX,31,1,438.0,5.0,3.0,,0.0,1.0,3.0,2.0,0,4.0,0.0,1,,street,0.0,1.0,,1.0,0.0,not allowed,0,
 Vorosmarty utca,VII,68,3,1530.0,5.0,,,,1.0,3.0,,1,4.0,0.0,0,,,0.0,,,1.0,0.0,not allowed,,
 Thokoly ut,XIV,31,1,393.0,,,,,,,,0,,54.0,0,,,0.0,,,,,,,
 Rozsadomb,II,65,2,634.0,5.0,3.0,,1.0,0.0,3.0,1.0,1,1.0,0.0,0,south-east,garden,4.0,0.0,0.0,,1.0,,1,
 Szodliget utca,XV,30,1,423.0,3.0,,,0.0,,1.0,,0,4.0,0.0,0,,street,0.0,1.0,0.0,,1.0,,1,
 Danko utca,VIII,34,1,362.0,4.0,3.0,,2.0,0.0,2.0,2.0,0,2.0,76.0,0,,court,0.0,,0.0,1.0,,not allowed,0,
 Kekvirag utca 2.,X,64,2,453.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Nagyszeben ut,XI,45,1,574.0,6.0,,,0.0,1.0,4.0,1.0,0,4.0,0.0,1,south-east,garden,9.0,1.0,0.0,1.0,0.0,not allowed,1,
 Julianus barat utca,IV,35,1,453.0,6.0,3.0,18,4.0,1.0,4.0,1.0,1,3.0,82.0,1,south-west,garden,0.0,1.0,0.0,1.0,0.0,not allowed,1,0.0
 Sziv utca 58.,VI,34,1,544.0,6.0,,,3.0,1.0,,,1,4.0,0.0,0,,,0.0,,0.0,,,,,
 Filler utca,II,65,1,695.0,5.0,4.0,,6.0,1.0,6.0,,1,4.0,151.0,0,,panoramic,7.0,0.0,0.0,1.0,,not allowed,0,
 Molnar utca,V,76,2,755.0,4.0,3.0,,2.0,1.0,5.0,,0,4.0,45.0,0,,street,0.0,,,1.0,0.0,,,
 Miklos utca 5.,III,70,3,196.0,5.0,4.0,18,,1.0,,1.0,1,4.0,60.0,0,west,panoramic,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Tatra utca,XIII,48,1,483.0,,3.0,,,1.0,,,1,,91.0,0,,,0.0,,,1.0,0.0,not allowed,,
 Rath Gyorgy utca,XII,57,1,634.0,5.0,3.0,,0.0,0.0,3.0,1.0,0,1.0,76.0,0,,panoramic,12.0,1.0,0.0,1.0,1.0,not allowed,1,
 Dohany utca,VII,54,2,453.0,4.0,3.0,,1.0,1.0,,2.0,0,3.0,60.0,1,south-east,court,0.0,,,1.0,,,0,
 Torokvesz,II,110,3,1428.0,5.0,4.0,,2.0,0.0,3.0,1.0,1,2.0,0.0,0,south,panoramic,20.0,0.0,0.0,1.0,0.0,allowed,1,
 Orszagut,II,94,3,1224.0,5.0,,,3.0,1.0,,,0,2.0,0.0,0,,,0.0,,0.0,1.0,,,0,
 Stefania ut,XIV,57,2,513.0,5.0,3.0,,0.0,,2.0,1.0,1,4.0,91.0,0,south-west,garden,0.0,,,1.0,1.0,,,
 Mezokovesd ut 3.,XI,40,1,604.0,5.0,,,4.0,1.0,4.0,,0,4.0,0.0,0,,panoramic,15.0,,0.0,1.0,1.0,allowed,0,
 Attila ut 85.,I,65,2,3.0,,5.0,19,2.0,1.0,5.0,1.0,1,4.0,0.0,1,south-west,panoramic,10.0,0.0,0.0,1.0,1.0,,0,
 San Marco utca,III,39,1,362.0,3.0,3.0,,3.0,0.0,4.0,1.0,0,4.0,0.0,0,,street,2.0,0.0,0.0,1.0,,not allowed,0,
 Dob utca,VII,43,2,423.0,5.0,3.0,,2.0,0.0,2.0,2.0,0,4.0,72.0,0,,garden,4.0,0.0,0.0,1.0,1.0,not allowed,0,
 Vaci ut,XIII,76,2,816.0,,,,,,,,0,,130.0,0,,,0.0,,,,,,,
 Andrassy ut 46.,VI,87,3,2040.0,,,,,,,,0,,0.0,0,,,0.0,,,,,,,
 Andrassy ut 46.,VI,75,2,1530.0,5.0,5.0,,3.0,1.0,4.0,,0,4.0,0.0,0,,street,0.0,,,1.0,,,,
